unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year,month,quarter,indicator_category
878239,386,Ozone (O3),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2023,2023-06-01,33.86869045,2023,6,2,Air Quality Indicator
874488,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01,9.206518962,2023,6,2,Air Quality Indicator
876996,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Summer 2023,2023-06-01,12.06848595,2023,6,2,Air Quality Indicator
876915,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Summer 2023,2023-06-01,14.17961956,2023,6,2,Air Quality Indicator
878189,386,Ozone (O3),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01,31.47215121,2023,6,2,Air Quality Indicator
878164,386,Ozone (O3),Mean,ppb,CD,107,Upper West Side (CD7),Summer 2023,2023-06-01,29.73775761,2023,6,2,Air Quality Indicator
878191,386,Ozone (O3),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2023,2023-06-01,35.49941831,2023,6,2,Air Quality Indicator
874574,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402,West Queens,Summer 2023,2023-06-01,9.23668133,2023,6,2,Air Quality Indicator
874840,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Summer 2023,2023-06-01,8.911945787,2023,6,2,Air Quality Indicator
876978,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Summer 2023,2023-06-01,13.15912683,2023,6,2,Air Quality Indicator
874538,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,503504,Southern SI,Summer 2023,2023-06-01,8.314094524,2023,6,2,Air Quality Indicator
874479,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305,Upper East Side,Summer 2023,2023-06-01,9.152812817,2023,6,2,Air Quality Indicator
877233,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Summer 2023,2023-06-01,12.58622382,2023,6,2,Air Quality Indicator
874541,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,501502,Northern SI,Summer 2023,2023-06-01,8.531657499,2023,6,2,Air Quality Indicator
874365,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Summer 2023,2023-06-01,8.791795544,2023,6,2,Air Quality Indicator
874511,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Summer 2023,2023-06-01,9.173802061,2023,6,2,Air Quality Indicator
877122,375,Nitrogen dioxide (NO2),Mean,ppb,CD,111,East Harlem (CD11),Summer 2023,2023-06-01,13.81264623,2023,6,2,Air Quality Indicator
