location_id,geo_type_name,geo_join_id,geo_place_name
1,Borough,1,Bronx
2,Borough,2,Brooklyn
3,Borough,3,Manhattan
4,Borough,4,Queens
5,Borough,5,Staten Island
6,CD,310,Bay Ridge and Dyker Heights (CD10)
7,CD,411,Bayside and Little Neck (CD11)
8,CD,303,Bedford Stuyvesant (CD3)
9,CD,206,Belmont and East Tremont (CD6)
10,CD,311,Bensonhurst (CD11)
11,CD,312,Borough Park (CD12)
12,CD,316,Brownsville (CD16)
13,CD,304,Bushwick (CD4)
14,CD,110,Central Harlem (CD10)
15,CD,104,Clinton and Chelsea (CD4)
16,CD,313,Coney Island (CD13)
17,CD,308,Crown Heights and Prospect Heights (CD8)
18,CD,317,East Flatbush (CD17)
19,CD,111,East Harlem (CD11)
20,CD,305,East New York and Starrett City (CD5)
21,CD,404,Elmhurst and Corona (CD4)
22,CD,101,Financial District (CD1)
23,CD,314,Flatbush and Midwood (CD14)
24,CD,318,Flatlands and Canarsie (CD18)
25,CD,407,Flushing and Whitestone (CD7)
26,CD,205,Fordham and University Heights (CD5)
27,CD,302,Fort Greene and Brooklyn Heights (CD2)
28,CD,301,Greenpoint and Williamsburg (CD1)
29,CD,102,Greenwich Village and Soho (CD2)
30,CD,204,Highbridge and Concourse (CD4)
31,CD,408,Hillcrest and Fresh Meadows (CD8)
32,CD,202,Hunts Point and Longwood (CD2)
33,CD,403,Jackson Heights (CD3)
34,CD,412,Jamaica and Hollis (CD12)
35,CD,409,Kew Gardens and Woodhaven (CD9)
36,CD,207,Kingsbridge Heights and Bedford (CD7)
37,CD,401,Long Island City and Astoria (CD1)
38,CD,103,Lower East Side and Chinatown (CD3)
39,CD,105,Midtown (CD5)
40,CD,109,Morningside Heights and Hamilton Heights (CD9)
41,CD,211,Morris Park and Bronxdale (CD11)
42,CD,203,Morrisania and Crotona (CD3)
43,CD,201,Mott Haven and Melrose (CD1)
44,CD,306,Park Slope and Carroll Gardens (CD6)
45,CD,209,Parkchester and Soundview (CD9)
46,CD,413,Queens Village (CD13)
47,CD,406,Rego Park and Forest Hills (CD6)
48,CD,405,Ridgewood and Maspeth (CD5)
49,CD,208,Riverdale and Fieldston (CD8)
50,CD,414,Rockaway and Broad Channel (CD14)
51,CD,315,Sheepshead Bay (CD15)
52,CD,502,South Beach and Willowbrook (CD2)
53,CD,309,South Crown Heights and Lefferts Gardens (CD9)
54,CD,410,South Ozone Park and Howard Beach (CD10)
55,CD,501,St. George and Stapleton (CD1)
