time_id,start_date,year,month,quarter,time_period
1,2005-01-01,2005,1,1,2005
2,2005-01-01,2005,1,1,2005-2007
3,2008-12-01,2008,12,4,Annual Average 2009
4,2008-12-01,2008,12,4,Winter 2008-09
5,2009-01-01,2009,1,1,2009-2011
6,2009-06-01,2009,6,2,Summer 2009
7,2009-12-01,2009,12,4,Annual Average 2010
8,2009-12-01,2009,12,4,Winter 2009-10
9,2010-01-01,2010,1,1,2010
10,2010-06-01,2010,6,2,Summer 2010
11,2010-12-01,2010,12,4,Winter 2010-11
12,2010-12-01,2010,12,4,Annual Average 2011
13,2011-01-01,2011,1,1,2011
14,2011-06-01,2011,6,2,Summer 2011
15,2011-12-01,2011,12,4,Annual Average 2012
16,2011-12-01,2011,12,4,Winter 2011-12
17,2012-01-02,2012,1,1,2012-2014
18,2012-06-01,2012,6,2,Summer 2012
19,2012-12-01,2012,12,4,Winter 2012-13
20,2012-12-01,2012,12,4,Annual Average 2013
21,2013-01-01,2013,1,1,2013
22,2013-06-01,2013,6,2,Summer 2013
23,2013-12-01,2013,12,4,Annual Average 2014
24,2013-12-01,2013,12,4,Winter 2013-14
25,2014-01-01,2014,1,1,2014
26,2014-06-01,2014,6,2,Summer 2014
27,2014-12-01,2014,12,4,Winter 2014-15
28,2015-01-01,2015,1,1,2015-2017
29,2015-01-01,2015,1,1,2015
30,2015-01-01,2015,1,1,Annual Average 2015
31,2015-06-01,2015,6,2,Summer 2015
32,2015-12-01,2015,12,4,Winter 2015-16
33,2015-12-31,2015,12,4,Annual Average 2016
34,2016-06-01,2016,6,2,Summer 2016
35,2016-12-01,2016,12,4,Winter 2016-17
36,2017-01-01,2017,1,1,2017-2019
37,2017-01-01,2017,1,1,Annual Average 2017
38,2017-06-01,2017,6,2,Summer 2017
39,2017-12-01,2017,12,4,Winter 2017-18
40,2018-01-01,2018,1,1,Annual Average 2018
41,2018-06-01,2018,6,2,Summer 2018
42,2018-12-01,2018,12,4,Winter 2018-19
43,2019-01-01,2019,1,1,Annual Average 2019
44,2019-01-01,2019,1,1,2019
45,2019-06-01,2019,6,2,Summer 2019
46,2019-12-01,2019,12,4,Winter 2019-20
47,2020-01-01,2020,1,1,Annual Average 2020
48,2020-06-01,2020,6,2,Summer 2020
49,2020-12-01,2020,12,4,Winter 2020-21
50,2021-01-01,2021,1,1,Annual Average 2021
51,2021-06-01,2021,6,2,Summer 2021
52,2021-12-01,2021,12,4,Winter 2021-22
53,2022-01-01,2022,1,1,Annual Average 2022
54,2022-06-01,2022,6,2,Summer 2022
55,2022-12-01,2022,12,4,Winter 2022-23
56,2023-01-01,2023,1,1,Annual Average 2023
57,2023-06-01,2023,6,2,Summer 2023
