fact_id,unique_id,time_id,location_id,indicator_key,batch_id,data_value
1,166005,19,57,5,1,25.99
2,174262,20,76,4,1,9.73
3,175455,19,127,5,1,23.64
4,175430,19,110,5,1,25.91
5,171716,19,78,5,1,22.06
6,167792,20,47,5,1,21.1
7,166021,19,48,5,1,25.04
8,172727,20,68,5,1,18.58
9,173258,19,89,4,1,11.98
10,172746,20,85,5,1,16.44
11,177317,19,112,4,1,9.57
12,170454,20,46,4,1,7.87
13,176715,20,127,5,1,18.38
14,170436,20,16,4,1,8.04
15,174255,20,75,4,1,8.6
16,176709,20,128,5,1,20.3
17,173249,19,81,4,1,9.79
18,165978,19,15,5,1,33.8
19,170414,20,42,4,1,9.4
20,176687,20,112,5,1,20.19
21,178583,20,107,4,1,8.11
22,170425,20,27,4,1,9.52
23,168663,19,6,4,1,10.06
24,167774,20,44,5,1,22.74
25,179517,19,5,4,1,9.72
26,174264,20,83,4,1,9.6
27,179666,20,4,4,1,8.36
28,173250,19,90,4,1,9.27
29,177320,19,110,4,1,10.24
30,168681,19,54,4,1,9.6
31,172715,20,82,5,1,18.23
32,168633,19,15,4,1,13.33
33,178593,20,135,4,1,10.15
34,168685,19,50,4,1,9.23
35,166030,19,50,5,1,18.77
36,174254,20,69,4,1,8.49
37,168640,19,19,4,1,11.98
38,174256,20,70,4,1,8.18
39,166013,19,51,5,1,22.96
40,177323,19,107,4,1,9.75
41,167780,20,11,5,1,20.53
42,165988,19,32,5,1,25.71
43,170443,20,64,4,1,10.05
44,167796,20,54,5,1,19.04
45,176716,20,133,5,1,15.4
46,166011,19,16,5,1,21.3
47,167798,20,34,5,1,19.07
48,171724,19,94,5,1,31.68
49,167764,20,49,5,1,18.24
50,170451,20,54,4,1,7.99
51,170435,20,11,4,1,8.5
52,176681,20,108,5,1,22.67
53,174274,20,94,4,1,10.44
54,173241,19,71,4,1,12.15
55,177340,19,115,4,1,9.68
56,174246,20,84,4,1,8.73
57,168679,19,31,4,1,9.7
58,174249,20,80,4,1,10.0
59,178567,20,122,4,1,8.88
60,172735,20,98,5,1,21.89
61,175457,19,141,5,1,19.93
62,175435,19,138,5,1,27.68
63,167748,20,15,5,1,30.56
64,174275,20,66,4,1,8.13
65,172739,20,81,5,1,18.96
66,170417,20,9,4,1,9.46
67,170409,20,14,4,1,9.64
68,168687,19,52,4,1,9.76
69,170411,20,62,4,1,9.46
70,172741,20,88,5,1,12.67
71,173237,19,68,4,1,9.88
72,170403,20,15,4,1,11.39
73,166023,19,25,5,1,22.11
74,177329,19,136,4,1,13.09
75,175434,19,140,5,1,27.35
76,167773,20,20,5,1,19.75
77,170447,20,47,4,1,8.71
78,178604,20,129,4,1,7.61
79,168671,19,24,4,1,9.81
80,170449,20,31,4,1,8.23
81,174266,20,78,4,1,8.39
82,168675,19,21,4,1,10.45
83,176702,20,118,5,1,29.19
84,174248,20,86,4,1,8.74
85,165976,19,29,5,1,32.72
86,174245,20,82,4,1,8.88
87,178594,20,124,4,1,11.06
88,176685,20,109,5,1,23.41
89,175444,19,124,5,1,33.01
90,175440,19,106,5,1,35.62
91,175425,19,109,5,1,28.16
92,170415,20,30,4,1,9.97
93,167791,20,48,5,1,20.36
94,170438,20,51,4,1,8.14
95,174258,20,73,4,1,8.11
96,176690,20,110,5,1,20.57
97,171697,19,79,5,1,24.13
98,179288,19,1,5,1,24.03
99,171695,19,82,5,1,23.12
100,178574,20,117,4,1,10.0
101,167747,20,38,5,1,26.63
102,171711,19,71,5,1,29.88
103,171722,19,95,5,1,34.4
104,178595,20,123,4,1,9.6
105,171723,19,72,5,1,34.64
106,173234,19,69,4,1,10.14
107,177344,19,129,4,1,9.23
